id,id_disciplina,id_professor
1192,VIS0294,567
1193,VIS0295,600
1194,VIS0296,585
1195,VIS0296,591
1196,VIS0297,575
1197,VIS0297,575
1198,CCA0004,601
1199,CCA0011,603
1200,CCA0012,604
1201,CCA0015,605
1202,CCA0015,606
1203,CCA0015,605
1204,CCA0015,607
1205,CCA0018,608
1206,CCA0018,609
1207,CCA0018,610
1208,CCA0018,607
1209,CCA0024,613
1210,CCA0024,614
1211,CCA0026,613
1212,CCA0026,615
1213,CCA0029,616
1214,CCA0029,616
1215,CCA0040,620
1216,CCA0040,621
1217,CCA0040,621
1218,CCA0042,619
1219,CCA0042,622
1220,CCA0044,623
1221,CCA0044,624
1222,CCA0044,610
1223,CCA0051,626
1224,CCA0051,627
1225,CCA0056,628
1226,CCA0056,612
1227,CCA0061,629
1228,CCA0061,630
1229,CCA0061,629
1230,CCA0067,617
1231,CCA0067,614
1232,CCA0069,631
1233,CCA0069,631
1234,CCA0074,601
1235,CCA0074,625
1236,CCA0076,632
1237,CCA0076,632
1238,CCA0077,633
1239,CCA0077,634
1240,CCA0081,635
1241,CCA0081,636
1242,CCA0081,602
1243,CCA0085,637
1244,CCA0085,637
1245,CCA0085,627
1246,CCA0089,604
1247,CCA0089,638
1248,CCA0091,639
1249,CCA0091,619
1250,CCA0093,58
1251,CCA0093,58
1252,CCA0099,640
1253,CCA0099,640
1254,CCA0103,641
1255,CCA0103,611
1256,CCA0103,641
1257,CCA0103,642
1258,CCA0103,642
1259,CCA0103,642
1260,CCA0103,611
1261,CCA0107,643
1262,CCA0107,643
1263,CCA0107,644
1264,CCA0107,644
1265,CCA0109,632
1266,CCA0109,640
1267,CCA0109,627
1268,CCA0109,610
1269,CCA0109,619
1270,CCA0109,641
1271,CCA0109,621
1272,CCA0109,58
1273,CCA0109,605
1274,CCA0109,633
1275,CCA0109,637
1276,CCA0109,625
1277,CCA0109,624
1278,CCA0109,628
1279,CCA0109,639
1280,CCA0109,617
1281,CCA0109,613
1282,CCA0109,629
1283,CCA0109,602
1284,CCA0109,615
1285,CCA0109,604
1286,CCA0109,614
1287,CCA0109,645
1288,CCA0109,603
1289,CCA0109,634
1290,CCA0109,608
1291,CCA0109,630
1292,CCA0109,635
1293,CCA0109,607
1294,CCA0109,601
1295,CCA0109,626
1296,CCA0109,638
1297,CCA0109,606
1298,CCA0109,623
1299,CCA0109,612
1300,CCA0109,631
1301,CCA0109,636
1302,CCA0109,609
1303,CCA0109,616
1304,CCA0109,622
1305,CCA0109,646
1306,CCA0111,626
1307,CCA0111,626
1308,CCA0153,645
1309,CCA0153,638
1310,CCA0153,606
1311,CCA0153,617
1312,CIC0002,647
1313,CIC0002,648
1314,CIC0002,649
1315,CIC0003,650
1316,CIC0004,651
1317,CIC0004,652
1318,CIC0004,653
